uniprotswissprot,ensembl_gene_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
P38852,YHR156C,0.926953462922077,0.688699816690988,0.721457124791316,0.77350857131508,0.745602854925186,0.808380050627378,0.831752063707326,1.05604856287693,1.00115300490177,0.96637125231659,0.740279433093794,0.886542702332186,0.671916682639259,0.818465676486959,0.823759311316904,0.663198200149163,0.870743327724448,0.815879231911671,0.820351455442733,0.839076374851791,0.737897623317146,1.61079711401012,0.982719359080849,0.771589018621713,0.711760166824238,0.955901099661422,NA,1.01898171514553,0.832080534817619,0.989167820005137
P38853,YHR158C,6.20177961394745,9.02004199499714,8.48541257692935,8.58874054384762,8.45370201263296,9.3329301663652,10.2895265769429,11.750456182334,14.9112358533526,12.6411499355394,12.5813727419623,14.2017471882302,13.0536525712317,14.3791247583021,13.3071905769339,13.1523239115749,12.1451147666211,12.2643669224749,11.7378240819639,11.0511641221196,13.1551461429117,11.6011741151926,12.1843359989396,11.0994055206669,12.8439744581581,13.013041765425,11.9610902780686,13.180444030295,13.0672023084845,13.954807299545
P38858,YHR163W,774.61562415472,768.074654160667,763.159305809598,756.982125297663,784.088032368098,761.384164090924,722.500326078857,684.007828477481,662.084794242935,660.440394605586,637.017721682603,671.58152493872,624.968485498031,629.193908730584,680.1694991066,669.210083437419,672.004666532347,675.822470695388,756.014125833045,714.398212143674,743.13131387986,752.30378252959,722.102284142383,722.029908529237,666.790717683085,752.298319755542,672.465833715915,685.722511428823,710.680769237045,721.641409828392
P38861,YHR170W,175.708697500032,168.894109097131,179.777835643827,148.834230055769,170.210537399931,157.08581197119,182.328633432454,178.283082880257,202.213911272524,182.593854662851,194.5424825736,196.29575366914,186.65910974926,199.11437555924,171.990939232661,203.949191232794,183.399676200554,201.531125070052,173.474985376421,172.633417643861,185.47446709047,181.650210008008,182.980793519409,174.481383834414,205.727580147334,170.324976789539,172.120470396382,197.537299081429,185.903632775158,171.252072216197
P38862,YHR171W,0.361669408603801,NA,0.547009288096972,8.37293239530892,0.295048202231801,0.246155079550106,0.261843930459012,0.507450475790886,0.338720258427969,0.81882599207464,0.296645298927178,0.404491912199483,0.551489918139742,0.404085509480516,0.44801202841858,0.457263828640807,0.347303087115936,0.600989365701103,0.266714389966526,0.342949949376307,0.465645293738386,0.590780550777912,0.64477570179084,0.440291548139737,0.681545418448932,0.728686897997004,NA,0.468690444941256,0.435356191681195,0.596003877231325
P38866,YHR176W,NA,NA,8.667918116933,8.7222830873524,9.99243696154616,12.2389951918677,7.01193348340705,11.8105349934093,21.2696211803788,9.97218031588437,5.51748940948756,13.5024808517838,21.0607806847378,11.5233870831188,11.0764881733995,13.6998995354373,11.8788572303688,15.6973387222174,8.58819935736211,15.3282828512679,12.2046543115971,14.7883090869581,8.87543386740274,5.62270113657675,13.5032620288597,19.2119301012882,33.150672822678,9.92076236123707,8.52316719163561,77.3047985463139
P38875,YHR188C,10.4211795347348,8.73286866838904,8.71687983253654,NA,NA,9.05803232705913,6.84195498909807,7.13086721905734,NA,6.45074618468997,6.3624530283128,7.39356521718981,11.9341215242911,9.21414043461337,6.38335863780128,10.2480857595419,9.01910255824579,8.31921976191395,8.35505551189058,7.38103750103569,8.05884038011397,7.82556537271561,6.32101019380164,6.08511477478018,NA,11.1780366125049,NA,10.8071548965289,6.99623429148412,9.30501874402673
P38878,YHR192W,8.86287976478143,8.87205472884993,7.019636913199,7.12976499433041,7.65647363753486,7.68000840920397,6.5159384597927,5.38411523632884,7.22111171359759,7.0461874351989,5.16120387784787,7.25038176254816,6.06881236479386,8.04782706510455,4.99228962135688,5.07829939803958,6.702904286719,8.63032400084733,9.28173493216883,7.46068430849471,7.44737193673619,6.3819609286914,7.52030982280763,6.12223919399858,5.95989379968306,8.37583086340425,NA,NA,33.004563104971,7.54979584558407
P38879,YHR193C,5007.22338813601,4936.64402279366,4987.03587819788,5006.69240884816,4919.25910653602,4774.5193875554,4296.24580537541,4154.70252874141,4398.72602925593,4306.63995542431,4051.78773444988,4216.04708643748,4247.43447866838,3868.08896501463,4182.74583670291,3917.14723576416,3991.34920119544,4076.18412959723,4338.28041197698,4659.53907424316,4759.52577151981,4362.8298929511,4048.60938886624,4555.94936438664,4096.40322887196,4172.64489466923,3748.56866517622,4308.72517857985,4417.46337520768,4385.07933118181
P38882,YHR196W,964.65002695056,1121.79474591125,905.112617133257,1018.33134227998,1034.45530927756,1047.1674715791,1259.70296983372,1189.98000356314,1365.70832443698,1364.386833585,1416.59287448317,1437.79491775614,1495.85330099461,1388.78920174305,1212.92319862377,1557.19901492992,1257.69467722947,1123.96982835788,1184.90762508948,1391.28490635579,1174.02221764438,1146.50869783076,1283.30188878419,1140.74205195805,1187.60546776356,1203.98135562332,1215.25911908663,1323.47144018338,1405.16430224069,1164.96900205334
